캐릭터명,출현 시기
스커크,전반
달리아,전반
에스코피에,전반
이파,전반
바레사,전반
얀사,전반
유메미즈키 미즈키,전반
마비카,전반
시틀라리,전반
남연,후반
차스카,전반
올로룬,전반
실로닌,전반
말라니,전반
키니치,후반
카치나,전반
에밀리,후반
클로린드,전반
시그윈,후반
세토스,전반
아를레키노,전반
치오리,전반
한운,전반
가명,전반
나비아,전반
슈브르즈,후반
푸리나,전반
샤를로트,전반
느비예트,전반
라이오슬리,후반
리니,전반
리넷,전반
프레미네,후반
키라라,전반
백출,후반
카베,후반
데히야,전반
미카,후반
알하이탐,전반
요요,전반
방랑자,전반
파루잔,전반
나히다,전반
레일라,후반
사이노,전반
닐루,후반
캔디스,전반
타이나리,전반
콜레이,전반
도리,후반
야란,전반
쿠키 시노부,후반
카미사토 아야토,전반
야에 미코,전반
신학,전반
운근,전반
아라타키 이토,후반
고로,후반
토마,후반
라이덴 쇼군,전반
쿠죠 사라,전반
산고노미야 코코미,후반
카미사토 아야카,전반
요이미야,후반
사유,후반
카에데하라 카즈하,후반
유라,후반
연비,전반
로자리아,후반
소,전반
호두,후반
알베도,전반
감우,후반
타르탈리아,전반
디오나,전반
종려,후반
신염,전반
벤티,전반
클레,후반
